,Code,Name,fscore,ROA,ROA_prev,CFO,LEV,LEV_prev,LEQ,LEQ_prev,GMO,GMO_prev,ATR,ATR_prev
0,A008350,남선알미늄,6,0.07130197766530817,0.061923944936377026,0.14438265509503603,0.10911784136705553,0.1329439402154917,1.0663548377153778,1.0758095675551533,0.11737424624563925,0.12550510979452953,1.4006682931262278,1.4577025823686554
1,A012170,키위미디어그룹,5,-0.13965098889907998,-0.124793991870882,-0.030489946035498476,0.20302883631086524,0.23465054508019306,7.851908839548112,1.9394151531482473,0.024897791839931183,0.01498017931279897,0.08376856281332058,0.07249434126663871
2,A083390,동북아14호선박투자,6,0.058935559319311964,0.05877398223171889,0.05913981909707368,0.0,0.0,1.019529494373626,1.0203677256695056,0.9026163635814802,0.9064206771721398,0.06528121861207199,0.0648265500177252
3,A071090,하이스틸,8,0.01716068909264582,-0.03408055258627624,0.02871571029197498,0.16077835780011657,0.09095573559732407,1.0690807674324714,0.782457562245597,0.1343222460606793,0.03704347018003372,0.6556429568134098,0.5344059206821655
4,A011500,한농화성,8,0.062400590597816025,0.05691586779672395,0.07034541402924302,0.0852580464614485,0.027888159578217095,1.7960818386727262,1.4957736145968168,0.09541669576162042,0.08945323346965581,1.459189339255969,1.3493152524167562
5,A047040,대우건설,5,-0.07968756862802512,0.014786083495789618,0.02367549218712418,0.13442241384319797,0.24646927603590676,0.9618574179469934,1.449351855382662,0.0063782705589807195,0.06965389957762506,1.146634429359932,0.9987502325619019
6,A033240,자화전자,5,0.035355463870951113,0.0633983243338424,0.006719070373019863,0.026096407524212266,0.024678350713701922,2.934779534982832,3.445948040362828,0.21692821485799238,0.2044327948131111,0.958032043102226,0.8966181644560178
7,A009200,무림페이퍼,7,0.011340704899058425,0.005587953970129672,0.07714335568420747,0.2481550766197688,0.32215848871469577,0.6175306785333473,0.7562431637394308,0.1749759123799988,0.16819261788226936,0.5144781892267918,0.6260311733359692
8,A036460,한국가스공사,4,-0.02114169914186255,0.001235516124124479,0.10348157208007962,0.6306762179780494,0.6117620091268663,1.437671411087876,1.7410215571523817,0.061912833169784014,0.05134722549250451,0.4995667222912716,0.5648107101693413
9,A004770,써니전자,3,0.033748943915370914,0.04247110990243545,,0.005870018364408518,0.21125177617569094,5.668368507987233,7.211415935745648,0.3362444740502283,0.30354994870001256,0.47966594926324896,0.6375062619878527
10,A018260,삼성에스디에스,7,0.045869780343495925,0.07425275757312365,0.051465354290482435,0.011544318831735782,0.013667358947938829,3.840247336876142,2.877109357474679,0.21878929149893558,0.20144613575068115,0.7581564671801887,0.9228261123041926
11,A011210,현대위아,5,0.026513235485735476,0.06321073538265957,0.08540404732233244,0.21736156174511537,0.21159787751952053,2.0805076681782086,1.8856190102561228,0.07052823442323003,0.09734081845607075,1.1960382080057732,1.4433937468893823
12,A002710,TCC동양,6,0.046781790284044854,-0.30367137945536293,-0.10345213705950668,0.27765808772376316,0.33542269082644105,1.251369029704285,1.6665649710992192,0.11245920469934055,0.10964320259372992,0.959425619684744,0.7588912156566905
13,A063160,종근당바이오,8,0.05528861279982185,0.040305407480553467,0.09083291352707114,0.06787053807796789,0.08955782212676976,2.588354853017678,2.715016179899441,0.233492388742888,0.19229601464978302,0.6622773861219037,0.6463457484188334
14,A005610,SPC삼립,8,0.057639520818185845,0.039096333014733024,0.07108057689190492,0.05596692857462698,0.04105473016417594,0.7133016132391342,0.6956933718671531,0.2507559723237251,0.23975350594679584,2.7457280827254795,2.409852816434887
15,A015350,부산도시가스,6,0.061792673170762036,0.05520889918334323,0.057399797587544765,0.09665363495279976,0.09589058652431202,1.2392898174251268,1.2115302466283662,0.14865111705954118,0.12187861655504753,1.1028675885395942,1.4005258382124157
16,A133820,화인베스틸,5,0.0033993641932615355,0.004773201349937832,0.05119603351267841,0.008778726835154462,0.005239492562084171,0.6953539139338591,0.7101854159381668,0.09779023106485482,0.076306885307427,0.7327204462368971,0.8434861552428506
17,A032350,롯데관광개발,5,0.012209097026972489,-0.3683345551753886,0.01415611633567633,0.5085522452401723,0.30694651890010516,0.8888268909948484,0.9981822558147074,0.06544805419385628,0.03148236637274537,0.19488488336163987,0.2930145763770087
18,A004710,한솔테크닉스,5,-0.12102505302647569,0.006793969809335838,0.0016304456991229387,0.09154608735230532,0.243030251673587,0.6929517422826227,0.8981169718427109,0.1147522518545439,0.10177530583214246,1.064512018060088,1.231910361543984
19,A004540,깨끗한나라,7,0.014427353362862919,-0.004311977416755545,0.09904445779484977,0.10045954395561019,0.12802427068944006,0.5598204841017983,0.5390884150899181,0.18409941505442648,0.1680310802789074,1.3736904334731381,1.4474436220395026
20,A004140,동방,5,-0.01542907828759089,-0.0075931616155229305,0.024917757925846853,0.09144677730817335,0.09793079658762582,0.4280974574836649,0.4056737720859858,0.10873222344943506,0.0933106012276395,0.9336616725384019,1.0326799581102175
21,A100220,비상교육,9,0.10542084853249695,0.07535316149646058,0.21719740208791255,0.010841084921028402,0.05877177986793879,2.8662445158561303,2.649193975839322,0.560532779687865,0.5011318399242485,0.5713689882841663,0.5570735989305243
22,A002460,화성산업,8,0.07110318881804185,0.04634976275793919,0.07926493025215586,0.15935488233747608,0.1566042170395317,2.5593500800957627,2.3421533680650763,0.1301363996322161,0.09698349931678338,1.0440042494144384,0.9158322253020299
23,A004490,세방전지,5,0.06419414782334786,0.08541466417886316,0.09302339961999036,0.009507770792744317,0.012085123670685469,2.9830054619219326,3.2060240010795367,0.17169352500881144,0.18974312318040357,0.9651017099427469,1.0307526144572858
