,Code,Name,fscore,ROA,ROA_prev,CFO,LEV,LEV_prev,LEQ,LEQ_prev,GMO,GMO_prev,ATR,ATR_prev
0,A031440,신세계푸드,7,0.028392875642571997,0.017482480459752082,0.04232407634162674,0.2281117083033636,0.27807496291144584,1.2788982191979152,1.5148130117698564,0.13172315089380093,0.10985326188984161,2.1242481386028045,2.369888121066654
1,A011200,현대상선,2,-0.08147463188893564,-0.08629438270908285,-0.1075234328986117,0.5046090168849003,0.37071443064501963,1.5920004442826379,0.35839235403078934,-0.11270696059378688,0.014356912793096395,0.7715288178376104,0.7939381594267925
2,A084870,티비에이치글로벌,8,0.0004531153563243442,-0.018652201107666227,0.04768958334894143,0.27348313373783684,0.2989363751073255,2.538644693371877,2.5529479107040642,0.6635167878158532,0.6547183243422822,1.2297761628599937,1.2067681804644486
3,A001520,동양,3,0.02065279496955725,0.7312715546307536,-0.11146184311639179,0.01994729267479259,0.04726946950965881,5.222542126066154,4.854030056965538,0.12214970314979245,0.1751759102823017,0.37147923897347557,0.47283514440398433
4,A006570,대림통상,8,0.0014524989551484631,-0.014569507755444083,0.056922291470757,0.07350379476540402,0.07917424409331247,1.0627724845859292,1.1093938686432667,0.15425714549604574,0.137473311790768,0.7466791706276817,0.6566928640516273
5,A210540,디와이파워,7,0.04318614450625306,0.006527958068825766,0.145800538752805,0.1742120790892484,0.14023690785246518,1.3948132601846743,1.2422680036049083,0.17705219817759701,0.1302412948261361,1.0304760962535582,1.1140655261459005
6,A010820,퍼스텍,5,-0.0018077151914897796,0.012639555536113347,0.026733586251436542,0.14498707379389342,0.12894535750191385,1.0148230245461334,1.0025469656638388,0.06695441330566551,0.08012606719515711,0.743165990550748,0.69372022217445
7,A036460,한국가스공사,4,-0.015891311374462373,0.006824382108954075,0.11252203004343488,0.6070746940644928,0.5966914655333887,1.5376960844305902,1.7481453034719918,0.06316958892557833,0.053143436188955465,0.49800520463462566,0.5570148806978534
8,A004770,써니전자,5,0.026553761408616334,0.0683617682690421,0.07789396738697121,0.007561996436785761,0.22446725402279977,5.87853959353277,6.541591400095604,0.3040551190180304,0.3010827704914834,0.5074922431156377,0.7623635928728031
9,A018260,삼성에스디에스,6,0.08123088974806054,0.0847145265549355,0.09836536274732773,0.030894176873887933,0.027768437235060908,3.375748669650213,2.7665748141966024,0.17331993511153163,0.16459114836008587,1.2919462133272686,1.4160456541141895
10,A011210,현대위아,5,0.01956074474086244,0.05505413216737518,0.05306091606777064,0.3012868828715503,0.2657337892071994,2.2034033986897326,1.9658728996098984,0.07598890565192472,0.10668185317705434,1.1356131034410524,1.3279038354004837
11,A002710,TCC동양,6,0.045029406163737566,-0.2000341197202909,-0.0937131946120432,0.25885367675600246,0.2949484362667081,1.2815363660353885,1.5635452267031213,0.0934962811674549,0.08846175490726024,1.1808180236188046,0.8998096192202918
12,A005610,SPC삼립,8,0.08081847808117479,0.06579697737254236,0.12992122611625537,0.0747343740851634,0.11734936980991277,0.8417458849860714,0.8125835154704316,0.19107221146957237,0.2247632427553375,3.051747909443198,2.4027921831465058
13,A096770,SK이노베이션,8,0.054892888347502215,0.02471922692321937,0.1172759392598167,0.1732763433847713,0.2052174881246323,1.7155169946947022,1.7136619780331224,0.12547386799256083,0.08601733383240653,1.2602280626789713,1.3776213416597105
14,A032350,롯데관광개발,5,0.006103348120481928,-0.343429545912573,0.012515503,0.49161221504926006,0.29300578594779947,1.0218833901594826,1.1850873939894768,0.06536181796868164,0.034438542402422945,0.202314940437751,0.3074476433954862
15,A004710,한솔테크닉스,4,-0.08540555560092832,0.06996988809062059,0.05158859426898942,0.07485956204853841,0.29482086817329767,0.7638397932011772,1.0449662455530968,0.10054645878789904,0.10889439058425682,1.4923225596641512,1.5973520020372982
16,A011280,태림포장,4,-0.0938540823968231,-0.021916242905649717,0.005265437389668644,0.12171977876416722,0.10555456243559024,0.6390932125882723,0.5923579585278799,0.12878860926481134,0.13315849374484445,0.6075708612678661,0.622506472023269
17,A075580,세진중공업,3,0.03784053790590126,0.04558729454085495,0.03134023373415702,0.1302690543475317,0.24743413684795407,0.6820862132291562,0.818301877405553,0.09311313624910218,0.12447009843841482,0.8215533711860562,1.0965723430148433
18,A004540,깨끗한나라,7,0.014693348547134336,-0.002999464183997105,0.09643591479102775,0.1008636531467699,0.12914547610177754,0.5570209943387786,0.5550494513370177,0.19178423671414793,0.16921081909477392,1.3600783645918415,1.4445071202026438
19,A004140,동방,6,0.023101816042633255,-0.026344035262276896,0.04318100531647616,0.16274850415040865,0.1384395537429774,0.5484905399725473,0.47038154966999335,0.12585701549336184,0.11082983288428105,0.9115759373182071,0.9663563848149586
20,A100220,비상교육,9,0.10893440888544931,0.06866071205918499,0.21787887302005773,0.011486499175614184,0.06046333108342743,2.7275046636159495,2.43915861994701,0.5386476131005338,0.4761280106433269,0.6117761118505258,0.5853632730794586
21,A004490,세방전지,5,0.06268943881044159,0.08474513837814182,0.07931657321396472,0.011799749800273965,0.01549204857897907,2.8658405107145883,3.1740561976810215,0.171441044577068,0.18925998895693202,0.95845333439853,1.0307526144572858
22,A214420,토니모리,3,0.08291767302154573,0.13803719534321574,0.009606453977477246,0.010221435682999543,0.011469367779915068,2.195160073751502,2.964377769945425,0.5332295245816551,0.5415664431056042,1.4984380624260811,2.2591859855526932
23,A138490,코오롱플라스틱,6,0.08475099316930068,0.04195102232976181,0.18330689428953537,0.10615125071286799,0.03860595466594152,1.0134755384557355,0.853629901104559,0.18133990673596864,0.14665714558372472,1.1426537626367936,1.168483536175614
