Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,12897.690430,12924.160156,12745.150391,12871.389648,12871.389648,86049300
2018-01-03,12916.179688,13023.589844,12893.049805,12978.209961,12978.209961,84809300
2018-01-04,13065.980469,13208.349609,13062.669922,13167.889648,13167.889648,101199400
2018-01-05,13219.110352,13332.799805,13219.110352,13319.639648,13319.639648,112555000
2018-01-08,13399.620117,13407.820313,13334.160156,13367.780273,13367.780273,95005300
2018-01-09,13383.259766,13425.019531,13361.219727,13385.589844,13385.589844,94770400
2018-01-10,13355.280273,13377.879883,13227.570313,13281.339844,13281.339844,120334900
2018-01-11,13281.200195,13298.650391,13151.839844,13202.900391,13202.900391,110577300
2018-01-12,13241.280273,13265.139648,13168.009766,13245.030273,13245.030273,87893300
2018-01-15,13244.370117,13250.370117,13173.709961,13200.509766,13200.509766,58326200
2018-01-16,13228.599609,13351.089844,13196.559570,13246.330078,13246.330078,85801600
2018-01-17,13200.919922,13251.440430,13137.509766,13183.959961,13183.959961,88144100
2018-01-18,13250.250000,13293.290039,13201.339844,13281.429688,13281.429688,89644100
2018-01-19,13297.740234,13445.469727,13294.809570,13434.450195,13434.450195,108147200
2018-01-22,13435.139648,13470.049805,13410.959961,13463.690430,13463.690430,95295700
2018-01-23,13577.139648,13596.889648,13517.809570,13559.599609,13559.599609,97239000
2018-01-24,13572.709961,13576.839844,13414.740234,13414.740234,13414.740234,105385100
2018-01-25,13374.379883,13443.360352,13222.469727,13298.360352,13298.360352,106119200
2018-01-26,13297.509766,13348.690430,13268.309570,13340.169922,13340.169922,75829200
2018-01-29,13358.900391,13370.019531,13274.839844,13324.480469,13324.480469,78822500
2018-01-30,13223.969727,13309.860352,13171.910156,13197.709961,13197.709961,115152700
2018-01-31,13210.759766,13268.410156,13159.349609,13189.480469,13189.480469,111852500
2018-02-01,13235.150391,13301.410156,12971.780273,13003.900391,13003.900391,122880100
2018-02-02,12954.589844,12954.589844,12782.070313,12785.160156,12785.160156,140869300
2018-02-05,12687.790039,12752.599609,12622.440430,12687.490234,12687.490234,113937900
2018-02-06,12232.860352,12550.160156,12232.860352,12392.660156,12392.660156,204856800
2018-02-07,12478.679688,12651.280273,12414.839844,12590.429688,12590.429688,153471100
2018-02-08,12506.179688,12541.320313,12187.450195,12260.290039,12260.290039,153991900
2018-02-09,12263.099609,12296.179688,12003.360352,12107.480469,12107.480469,175812900
2018-02-12,12238.629883,12379.160156,12222.339844,12282.769531,12282.769531,120024900
2018-02-13,12282.759766,12300.629883,12196.219727,12196.500000,12196.500000,94601100
2018-02-14,12294.849609,12393.709961,12075.209961,12339.160156,12339.160156,130713000
2018-02-15,12425.450195,12479.969727,12275.040039,12346.169922,12346.169922,111934900
2018-02-16,12408.480469,12484.120117,12368.709961,12451.959961,12451.959961,104230500
2018-02-19,12495.070313,12505.490234,12361.860352,12385.599609,12385.599609,66917000
2018-02-20,12403.629883,12496.099609,12333.790039,12487.900391,12487.900391,87127600
2018-02-21,12457.219727,12474.370117,12372.259766,12470.490234,12470.490234,83382600
2018-02-22,12358.820313,12497.709961,12283.700195,12461.910156,12461.910156,104173000
2018-02-23,12491.769531,12513.320313,12431.940430,12483.790039,12483.790039,97926500
2018-02-26,12566.049805,12601.459961,12484.589844,12527.040039,12527.040039,78303000
2018-02-27,12573.650391,12577.559570,12436.129883,12490.730469,12490.730469,89864600
2018-02-28,12427.459961,12516.919922,12417.959961,12435.849609,12435.849609,93391300
2018-03-01,12386.400391,12387.879883,12143.139648,12190.940430,12190.940430,113680600
2018-03-02,12051.889648,12081.400391,11877.660156,11913.709961,11913.709961,120480800
2018-03-05,11831.570313,12110.179688,11830.980469,12090.870117,12090.870117,109920600
2018-03-06,12229.290039,12259.580078,12110.339844,12113.870117,12113.870117,104517000
2018-03-07,12060.089844,12275.690430,12020.610352,12245.360352,12245.360352,92920300
2018-03-08,12237.940430,12382.690430,12177.120117,12355.570313,12355.570313,97759800
2018-03-09,12331.639648,12407.980469,12284.570313,12346.679688,12346.679688,96109700
2018-03-12,12453.299805,12454.959961,12361.009766,12418.389648,12418.389648,136801400
2018-03-13,12425.690430,12459.900391,12162.469727,12221.030273,12221.030273,131887900
2018-03-14,12212.490234,12322.889648,12202.759766,12237.740234,12237.740234,104202200
2018-03-15,12284.139648,12378.389648,12239.959961,12345.559570,12345.559570,106658200
2018-03-16,12345.559570,12454.019531,12337.620117,12389.580078,12389.580078,212840100
2018-03-19,12346.509766,12369.769531,12183.790039,12217.019531,12217.019531,97309700
2018-03-20,12261.190430,12320.000000,12191.549805,12307.330078,12307.330078,72907500
2018-03-21,12336.759766,12344.089844,12250.370117,12309.150391,12309.150391,108917200
2018-03-22,12187.730469,12267.169922,12009.500000,12100.080078,12100.080078,138428600
2018-03-23,11995.509766,12001.780273,11818.700195,11886.309570,11886.309570,145617800
2018-03-26,11919.639648,11984.500000,11726.620117,11787.259766,11787.259766,99857900
2018-03-27,11996.349609,12042.780273,11927.910156,11970.830078,11970.830078,0
